1;2;3;4;5;6;7;8;9;;;;;;;
;;Vidrio;mosaico, ? =2000 kg/m³;mosaico;2000;1,20;750;inf;inf;;;;;;
;;;---Agua---;;;;;;;;;;;;
;;agua;hielo a -10 °C, ? =920 kg/m³;hielo a -10 °C;920;2,30;2000;-;-;;;;;;
;;agua;hielo a 0 °C, ? =900 kg/m³;hielo a 0 °C;900;2,20;2000;-;-;;;;;;
;;agua;nieve, recién caida (< 30 mm), ? =100 kg/m³;nieve, recién caida (< 30 mm);100;0,05;2000;-;-;;;;;;
;;agua;nieve, suave (30 a 70 mm), ? =200 kg/m³;nieve, suave (30 a 70 mm);200;0,12;2000;-;-;;;;;;
;;agua;nieve, levemente compactada (70 a 100 mm), ? =300 kg/m³;nieve, levemente compactada (70 a 100 mm);300;0,23;2000;-;-;;;;;;
;;agua;nieve, compactada (< 200 mm), ? =500 kg/m³;nieve, compactada (< 200 mm);500;0,60;2000;-;-;;;;;;
;;agua;agua a 10 °C, ? =1000 kg/m³;agua a 10 °C;1000;0,60;4190;-;-;;;;;;
;;agua;agua a 40 °C, ? =990 kg/m³;agua a 40 °C;990;0,63;4190;-;-;;;;;;
;;agua;agua a 80 °C, ? =970 kg/m³;agua a 80 °C;970;0,67;4190;-;-;;;;;;
;;;---Metales---;;;;;;;;;;;;
;;metales;Aleaciones de aluminio, ? =2800 kg/m³;Aleaciones de aluminio;2800;160;880;inf;inf;;;;;;
;;metales;Bronce, ? =8700 kg/m³;Bronce;8700;65;380;inf;inf;;;;;;
;;metales;Latón, ? =8400 kg/m³;Latón;8400;120;380;inf;inf;;;;;;
;;metales;Cobre, ? =8900 kg/m³;Cobre;8900;380;380;inf;inf;;;;;;
;;metales;Hierro, hierro fundido, ? =7500 kg/m³;Hierro, hierro fundido;7500;50;450;inf;inf;;;;;;
;;metales;Plomo, ? =11300 kg/m³;Plomo;11300;35;130;inf;inf;;;;;;
;;metales;Acero, ? =7800 kg/m³;Acero;7800;50;450;inf;inf;;;;;;
;;metales;Acero inoxidable, ? =7900 kg/m³;Acero inoxidable;7900;17;500;inf;inf;;;;;;
;;metales;Acero inoxidable, ? =7900 kg/m³;Acero inoxidable;7900;30;460;inf;inf;;;;;;
